human_symbol	mouse_symbol
ABCB11	Abcb11
ABCB11	Abcb5
ABCB11	Abcb1b
ABCB11	Abcb4
ABCB11	Abcb1a
ABCB4	Abcb4
ABCB4	Abcb1b
ABCB4	Abcb1a
ABCB4	Abcb11
ABCB4	Abcb5
ABCB5	Abcb5
ABCB5	Abcb11
ABCB5	Abcb1b
ABCB5	Abcb4
ABCB5	Abcb1a
ABCB6	Abcb6
ABCB7	Abcb7
ABCB8	Abcb8
ABCB9	Abcb9
ABCB9	Tap2
ABCC1	Abcc1
ABCC1	Abcc3
ABCC1	Abcc6
ABCC1	Abcc5
ABCC1	Abcc2
ABCC1	Abcc8
ABCC1	Abcc9
ABCC1	Abcc10
ABCC1	Abcc12
ABCC1	Abcc4
ABCC10	Abcc10
ABCC10	Abcc1
ABCC10	Abcc6
ABCC10	Abcc5
ABCC10	Abcc2
ABCC10	Abcc8
ABCC10	Abcc9
ABCC10	Abcc3
ABCC10	Abcc12
ABCC10	Abcc4
ABCC11	Abcc5
ABCC11	Abcc12
ABCC11	Abcc1
ABCC11	Abcc6
ABCC11	Abcc2
ABCC11	Abcc8
ABCC11	Abcc9
ABCC11	Abcc3
ABCC11	Abcc10
ABCC11	Abcc4
ABCC12	Abcc12
ABCC12	Abcc5
ABCC12	Abcc1
ABCC12	Abcc6
ABCC12	Abcc2
ABCC12	Abcc8
ABCC12	Abcc9
ABCC12	Abcc3
ABCC12	Abcc10
ABCC12	Abcc4
ABCC2	Abcc2
ABCC2	Abcc1
ABCC2	Abcc6
ABCC2	Abcc5
ABCC2	Abcc8
ABCC2	Abcc9
ABCC2	Abcc3
ABCC2	Abcc10
ABCC2	Abcc12
ABCC2	Abcc4
ABCC3	Abcc3
ABCC3	Abcc1
ABCC3	Abcc6
ABCC3	Abcc5
ABCC3	Abcc2
ABCC3	Abcc8
ABCC3	Abcc9
ABCC3	Abcc10
ABCC3	Abcc12
ABCC3	Abcc4
ABCC4	Abcc4
ABCC4	Abcc1
ABCC4	Abcc6
ABCC4	Abcc5
ABCC4	Abcc2
ABCC4	Abcc8
ABCC4	Abcc9
ABCC4	Abcc3
ABCC4	Abcc10
ABCC4	Abcc12
ABCC5	Abcc5
ABCC5	Abcc12
ABCC5	Abcc1
ABCC5	Abcc6
ABCC5	Abcc2
ABCC5	Abcc8
ABCC5	Abcc9
ABCC5	Abcc3
ABCC5	Abcc10
ABCC5	Abcc4
ABCC6	Abcc6
ABCC6	Abcc1
ABCC6	Abcc5
ABCC6	Abcc2
ABCC6	Abcc8
ABCC6	Abcc9
ABCC6	Abcc3
ABCC6	Abcc10
ABCC6	Abcc12
ABCC6	Abcc4
ABCC6P1	Abcc1
ABCC6P1	Abcc6
ABCC6P1	Abcc2
ABCC6P1	Abcc3
ABCC6P1	Abcc4
ABCC8	Abcc8
ABCC8	Abcc9
ABCC8	Abcc1
ABCC8	Abcc6
ABCC8	Abcc5
ABCC8	Abcc2
ABCC8	Abcc3
ABCC8	Abcc10
ABCC8	Abcc12
ABCC8	Abcc4
ABCC9	Abcc9
ABCC9	Abcc8
ABCC9	Abcc1
ABCC9	Abcc6
ABCC9	Abcc5
ABCC9	Abcc2
ABCC9	Abcc3
ABCC9	Abcc10
ABCC9	Abcc12
ABCC9	Abcc4
ABCD1	Abcd1
ABCD1	Abcd2
ABCD2	Abcd2
ABCD2	Abcd1
ABCD3	Abcd3
ABCD4	Abcd4
ABCE1	Abce1
ABCF1	Abcf1
ABCF2	Abcf2
ABCF2-H2BE1	Abcf2
ABCF3	Abcf3
ABCG1	Abcg1
ABCG1	Abcg4
ABCG2	Abcg2
ABCG2	Abcg3
ABCG4	Abcg4
ABCG4	Abcg1
ABCG5	Abcg5
ABCG8	Abcg8
ABHD1	Abhd1
ABHD1	Abhd3
ABHD10	Abhd10
ABHD11	Abhd11
ABHD11-AS1	Abhd11os
ABHD12	Abhd12
ABHD12B	Abhd12b
ABHD13	Abhd13
ABHD14A	Abhd14a
ABHD14A-ACY1	Acy1
ABHD14B	Abhd14b
ABHD14B	Abhd14a
ABHD15	Abhd15
ABHD16A	Abhd16a
ABHD16B	Abhd16b
ABHD17A	Abhd17a
ABHD17B	Abhd17b
ABHD17C	Abhd17c
ABHD18	Abhd18
ABHD2	Abhd2
ABHD3	Abhd3
ABHD4	Abhd4
ABHD5	Abhd5
ABHD6	Abhd6
ABHD8	Abhd8
ABI1	Abi1
ABI1	Abi2
ABI2	Abi2
ABI2	Abi1
ABI3	Abi3
ABI3BP	Abi3bp
ABITRAM	Abitram
ABL1	Abl1
ABL1	Abl2
ABL2	Abl2
ABL2	Abl1
ABLIM1	Ablim1
ABLIM1	Ablim3
ABLIM1	Ablim2
ABLIM2	Ablim2
ABLIM2	Ablim1
ABLIM2	Ablim3
ABLIM3	Ablim3
ABLIM3	Ablim1
ABLIM3	Ablim2
ABO	Abo
ABR	Abr
ABR	Bcr
ABRA	Abra
ABRACL	Abracl
ABRAXAS1	Abraxas1
ABRAXAS2	Abraxas2
ABT1	Abt1
ABTB1	Abtb1
ABTB2	Abtb2
ABTB2	Btbd11
AC005774.1	AF357399
AC008758.6	B230307C23Rik
AC008770.1	B230307C23Rik
AC231657.3	Wdr45
AC231657.3	Gm45208
AC235565.2	Tcp11x2
AC236668.2	Gm23389
AC243919.1	Rpl9-ps6
AC243919.1	Rpl9
AC243964.2	Gm22394
AC243967.1	Ceacam13
AC243967.1	Ceacam5
AC243967.1	Ceacam3
AC243967.1	Gm5155
AC243967.1	Psg16
AC243967.1	Psg17
AC243967.1	Psg18
AC243967.1	Psg19
AC243967.1	Psg20
AC243967.1	Psg21
AC243967.1	Psg22
AC243967.1	Psg23
AC243967.1	Psg25
AC243967.1	Psg26
AC243967.1	Psg27
AC243967.1	Psg28
AC243967.1	Psg29
AC243967.1	Ceacam11
AC243967.1	Ceacam14
AC243967.1	Ceacam12
AC244035.3	Snord60
AC244197.3	Ids
AC245033.1	Cpeb1
AC245748.1	Zfp112
AC253536.7	Ddt
ACAA1	Acaa1a
ACAA1	Acaa1b
ACAA2	Acaa2
ACACA	Acaca
ACACA	Acacb
ACACB	Acacb
ACACB	Acaca
ACAD10	Acad10
ACAD10	Acad12
ACAD10	Acad11
ACAD11	Acad11
ACAD11	Acad10
ACAD11	Acad12
ACAD8	Acad8
ACAD9	Acad9
ACADL	Acadl
ACADM	Acadm
ACADS	Acads
ACADSB	Acadsb
ACADVL	Acadvl
ACAN	Acan
ACAP1	Acap1
ACAP1	Acap2
ACAP1	Acap3
ACAP2	Acap2
ACAP2	Acap3
ACAP2	Acap1
ACAP3	Acap3
ACAP3	Acap2
ACAP3	Acap1
ACAT1	Acat1
ACAT2	Acat3
ACAT2	Acat2
ACBD3	Acbd3
ACBD4	Acbd4
ACBD5	Acbd5
ACBD6	Acbd6
ACBD7	Acbd7
ACCS	Accs
ACCS	Accsl
ACCSL	Accsl
ACCSL	Accs
ACD	Acd
ACE	Ace
ACE	Ace3
ACE2	Ace2
ACE3P	Ace3
ACER1	Acer1
ACER1	Acer2
ACER2	Acer2
ACER2	Acer1
ACER3	Acer3
ACHE	Ache
ACHE	Bche
ACIN1	Acin1
ACKR1	Ackr1
ACKR2	Ackr2
ACKR3	Ackr3
ACKR4	Ackr4
ACLY	Acly
ACMSD	Acmsd
ACO1	Aco1
ACO1	Ireb2
ACO2	Aco2
ACOD1	Acod1
ACOT1	Acot1
ACOT1	Acot3
ACOT1	Acot2
ACOT1	Acot5
ACOT1	Gm49366
ACOT11	Acot11
ACOT12	Acot12
ACOT12	Acot11
ACOT13	Acot13
ACOT2	Acot2
ACOT2	Acot3
ACOT2	Acot1
ACOT2	Acot5
ACOT2	Acot6
ACOT2	Acot4
ACOT2	Gm49366
ACOT4	Acot4
ACOT4	Acot1
ACOT4	Acot6
ACOT4	Acot2
ACOT4	Acot3
ACOT4	Acot5
ACOT6	Acot6
ACOT6	Acot1
ACOT6	Acot2
ACOT6	Acot3
ACOT6	Acot4
ACOT6	Acot5
ACOT7	Acot7
ACOT8	Acot8
ACOT9	Acot9
ACOT9	Acot10
ACOX1	Acox1
ACOX2	Acox2
ACOX3	Acox3
ACOXL	Acoxl
ACP1	Acp1
ACP2	Acp2
ACP3	Acpp
ACP4	Acp4
ACP5	Acp5
ACP6	Acp6
ACP7	Acp7
ACR	Acr
ACR	Prss22
ACRBP	Acrbp
ACRV1	Acrv1
ACSBG1	Acsbg1
ACSBG1	Acsbg2
ACSBG2	Acsbg2
ACSBG2	Acsbg1
ACSBG2	Acsbg3
ACSF2	Acsf2
ACSF3	Acsf3
ACSL1	Acsl1
ACSL1	Acsl5
ACSL1	Acsl6
ACSL3	Acsl3
ACSL3	Acsl4
ACSL4	Acsl4
ACSL4	Acsl3
ACSL5	Acsl5
ACSL5	Acsl1
ACSL5	Acsl6
ACSL6	Acsl6
ACSL6	Acsl1
ACSL6	Acsl5
ACSM1	Acsm1
ACSM1	Acsm2
ACSM1	Acsm5
ACSM1	Acsm4
ACSM1	Acsm3
ACSM2A	Acsm2
ACSM2A	Acsm1
ACSM2A	Acsm5
ACSM2A	Acsm4
ACSM2A	Acsm3
ACSM2B	Acsm2
ACSM2B	Acsm1
ACSM2B	Acsm5
ACSM2B	Acsm4
ACSM2B	Acsm3
ACSM3	Acsm3
ACSM3	Acsm1
ACSM3	Acsm2
ACSM3	Acsm5
ACSM3	Acsm4
ACSM4	Acsm4
ACSM4	Acsm1
ACSM4	Acsm2
ACSM4	Acsm5
ACSM4	Acsm3
ACSM5	Acsm5
ACSM5	Acsm1
ACSM5	Acsm2
ACSM5	Acsm4
ACSM5	Acsm3
ACSM6	Acsm1
ACSM6	Acsm2
ACSS1	Acss1
ACSS2	Acss2
ACSS3	Acss3
ACTA1	Acta1
ACTA1	Actg2
ACTA1	Actc1
ACTA1	Acta2
ACTA1	Actbl2
ACTA1	Actb
ACTA1	Actg1
ACTA2	Acta2
ACTA2	Actg2
ACTA2	Acta1
ACTA2	Actc1
ACTA2	Actbl2
ACTA2	Actb
ACTA2	Actg1
ACTB	Actb
ACTB	Actg1
ACTB	Actg2
ACTB	Actbl2
ACTB	Gm17087
ACTB	Acta1
ACTB	Actc1
ACTB	Acta2
ACTBL2	Actbl2
ACTBL2	Actg2
ACTBL2	Acta1
ACTBL2	Actb
ACTBL2	Actc1
ACTBL2	Actg1
ACTBL2	Acta2
ACTC1	Actc1
ACTC1	Actg2
ACTC1	Acta1
ACTC1	Acta2
ACTC1	Actbl2
ACTC1	Actb
ACTC1	Actg1
ACTG1	Actg1
ACTG1	Actb
ACTG1	Acta1
ACTG1	Actc1
ACTG1	Acta2
ACTG1	Actg2
ACTG1	Actbl2
ACTG2	Actg2
ACTG2	Acta1
ACTG2	Actc1
ACTG2	Acta2
ACTG2	Actbl2
ACTG2	Actb
ACTG2	Actg1
ACTL10	Actl10
ACTL6A	Actl6a
ACTL6A	Actl6b
ACTL6B	Actl6b
ACTL6B	Actl6a
ACTL7A	Actl7a
ACTL7A	Actl7b
ACTL7B	Actl7b
ACTL7B	Actl7a
ACTL9	Actl9
ACTN1	Actn1
ACTN1	Actn2
ACTN1	Actn4
ACTN1	Actn3
ACTN2	Actn2
ACTN2	Actn4
ACTN2	Actn1
ACTN2	Actn3
ACTN3	Actn3
ACTN3	Actn2
ACTN3	Actn4
ACTN3	Actn1
ACTN4	Actn4
ACTN4	Actn2
ACTN4	Actn1
ACTN4	Actn3
ACTR10	Actr10
ACTR1A	Actr1a
ACTR1A	Actr1b
ACTR1B	Actr1b
ACTR1B	Actr1a
ACTR2	Actr2
ACTR3	Actr3
ACTR3	Actr3b
ACTR3B	Actr3b
ACTR3B	Actr3
ACTR3C	Actr3b
ACTR5	Actr5
ACTR6	Actr6
ACTR8	Actr8
ACTRT1	Actrt1
ACTRT1	Actrt2
ACTRT2	Actrt2
ACTRT2	Actrt1
ACTRT3	Actrt3
ACVR1	Acvr1
ACVR1B	Acvr1b
ACVR1B	Acvr1c
ACVR1B	Tgfbr1
ACVR1C	Acvr1c
ACVR1C	Acvr1b
ACVR1C	Tgfbr1
ACVR2A	Acvr2a
ACVR2A	Acvr2b
ACVR2B	Acvr2b
ACVR2B	Acvr2a
ACVRL1	Acvrl1
ACY1	Acy1
ACY3	Acy3
ACYP1	Acyp1
ACYP2	Acyp2
ADA	Ada
ADAD1	Adad1
ADAD2	Adad2
ADAL	Adal
ADAM10	Adam10
ADAM11	Adam11
ADAM11	Adam22
ADAM11	Adam23
ADAM12	Adam12
ADAM12	Adam19
ADAM15	Adam15
ADAM17	Adam17
ADAM18	Adam18
ADAM18	Adam5
ADAM19	Adam19
ADAM19	Adam12
ADAM19	Adam33
ADAM1A	Adam1a
ADAM1B	Adam1b
ADAM2	Adam2
ADAM20	Adam25
ADAM20	Adam20
ADAM20	Adam39
ADAM20	Adam24
ADAM20	Adam26a
ADAM20	Adam21
ADAM20	Adam34
ADAM20	Adam26b
ADAM20	Adam34l
ADAM20	Adam29
ADAM21	Adam21
ADAM21	Adam24
ADAM21	Adam26a
ADAM21	Adam25
ADAM21	Adam20
ADAM21	Adam34
ADAM21	Adam29
ADAM21	Adam39
ADAM21	Adam26b
ADAM21	Adam34l
ADAM21P1	Adam24
ADAM21P1	Adam26a
ADAM21P1	Adam25
ADAM21P1	Adam21
ADAM21P1	Adam20
ADAM21P1	Adam34
ADAM21P1	Adam29
ADAM21P1	Adam39
ADAM21P1	Adam26b
ADAM21P1	Adam34l
ADAM22	Adam22
ADAM22	Adam11
ADAM22	Adam23
ADAM23	Adam23
ADAM23	Adam11
ADAM23	Adam22
ADAM24P	Adam24
ADAM28	Adam28
ADAM28	Adamdec1
ADAM29	Adam29
ADAM29	Adam24
ADAM29	Adam20
ADAM29	Adam39
ADAM29	Adam26a
ADAM29	Adam25
ADAM29	Adam21
ADAM29	Adam34
ADAM29	Adam26b
ADAM29	Adam34l
ADAM30	Adam30
ADAM32	Adam32
ADAM33	Adam33
ADAM33	Adam19
ADAM33	Adam12
ADAM3A	Adam3
ADAM5	Adam5
ADAM6	Adam6a
ADAM7	Adam7
ADAM8	Adam8
ADAM9	Adam9
ADAMDEC1	Adamdec1
ADAMDEC1	Adam28
ADAMTS1	Adamts1
ADAMTS1	Adamts4
ADAMTS1	Adamts5
ADAMTS1	Adamts8
ADAMTS1	Adamts9
ADAMTS1	Adamts15
ADAMTS1	Adamts20
ADAMTS10	Adamts10
ADAMTS10	Adamts6
ADAMTS10	Adamts7
ADAMTS10	Adamts12
ADAMTS10	Adamts16
ADAMTS10	Adamts18
ADAMTS12	Adamts12
ADAMTS12	Adamts7
ADAMTS12	Adamts6
ADAMTS12	Adamts16
ADAMTS12	Adamts18
ADAMTS12	Adamts10
ADAMTS13	Adamts13
ADAMTS14	Adamts14
ADAMTS14	Adamts2
ADAMTS14	Adamts3
ADAMTS15	Adamts15
ADAMTS15	Adamts1
ADAMTS15	Adamts4
ADAMTS15	Adamts5
ADAMTS15	Adamts8
ADAMTS15	Adamts9
ADAMTS15	Adamts20
ADAMTS16	Adamts16
ADAMTS16	Adamts7
ADAMTS16	Adamts6
ADAMTS16	Adamts12
ADAMTS16	Adamts18
ADAMTS16	Adamts10
ADAMTS17	Adamts17
ADAMTS17	Adamts19
ADAMTS18	Adamts18
ADAMTS18	Adamts7
ADAMTS18	Adamts6
ADAMTS18	Adamts12
ADAMTS18	Adamts16
ADAMTS18	Adamts10
ADAMTS19	Adamts19
ADAMTS19	Adamts17
ADAMTS2	Adamts2
ADAMTS2	Adamts14
ADAMTS2	Adamts3
ADAMTS20	Adamts20
ADAMTS20	Adamts1
ADAMTS20	Adamts4
ADAMTS20	Adamts5
ADAMTS20	Adamts8
ADAMTS20	Adamts9
ADAMTS20	Adamts15
ADAMTS3	Adamts3
ADAMTS3	Adamts2
ADAMTS3	Adamts14
ADAMTS4	Adamts4
ADAMTS4	Adamts1
ADAMTS4	Adamts5
ADAMTS4	Adamts8
ADAMTS4	Adamts9
ADAMTS4	Adamts15
ADAMTS4	Adamts20
ADAMTS5	Adamts5
ADAMTS5	Adamts1
ADAMTS5	Adamts4
ADAMTS5	Adamts8
ADAMTS5	Adamts9
ADAMTS5	Adamts15
ADAMTS5	Adamts20
ADAMTS6	Adamts6
ADAMTS6	Adamts10
ADAMTS6	Adamts7
ADAMTS6	Adamts12
ADAMTS6	Adamts16
ADAMTS6	Adamts18
ADAMTS7	Adamts7
ADAMTS7	Adamts6
ADAMTS7	Adamts12
ADAMTS7	Adamts16
ADAMTS7	Adamts18
ADAMTS7	Adamts10
ADAMTS8	Adamts8
ADAMTS8	Adamts1
ADAMTS8	Adamts4
ADAMTS8	Adamts5
ADAMTS8	Adamts9
ADAMTS8	Adamts15
ADAMTS8	Adamts20
ADAMTS9	Adamts9
ADAMTS9	Adamts15
ADAMTS9	Adamts20
ADAMTS9	Adamts1
ADAMTS9	Adamts4
ADAMTS9	Adamts5
ADAMTS9	Adamts8
ADAMTSL1	Adamtsl1
ADAMTSL1	Adamtsl3
ADAMTSL2	Adamtsl2
ADAMTSL3	Adamtsl3
ADAMTSL3	Adamtsl1
ADAMTSL4	Adamtsl4
ADAMTSL4	Thsd4
ADAMTSL5	Adamtsl5
ADAP1	Adap1
ADAP1	Adap2
ADAP2	Adap2
ADAP2	Adap1
ADAR	Adar
ADARB1	Adarb1
ADARB1	Adarb2
ADARB2	Adarb2
ADARB2	Adarb1
ADAT1	Adat1
ADAT2	Adat2
ADAT3	Adat3
ADAT3	Gm49322
ADCK1	Adck1
ADCK2	Adck2
ADCK2	Gm42420
ADCK5	Adck5
ADCY1	Adcy1
ADCY1	Adcy7
ADCY1	Adcy8
ADCY1	Adcy6
ADCY1	Adcy5
ADCY1	Adcy4
ADCY1	Adcy3
ADCY1	Adcy2
ADCY10	Adcy10
ADCY2	Adcy2
ADCY2	Adcy4
ADCY2	Adcy7
ADCY2	Adcy8
ADCY2	Adcy6
ADCY2	Adcy5
ADCY2	Adcy3
ADCY2	Adcy1
ADCY3	Adcy3
ADCY3	Adcy7
ADCY3	Adcy8
ADCY3	Adcy6
ADCY3	Adcy5
ADCY3	Adcy4
ADCY3	Adcy2
ADCY3	Adcy1
ADCY4	Adcy4
ADCY4	Adcy2
ADCY4	Adcy7
ADCY4	Adcy8
ADCY4	Adcy6
ADCY4	Adcy5
ADCY4	Adcy1
ADCY5	Adcy5
ADCY5	Adcy6
ADCY5	Adcy7
ADCY5	Adcy8
ADCY5	Adcy4
ADCY5	Adcy3
ADCY5	Adcy2
ADCY5	Adcy1
ADCY6	Adcy6
ADCY6	Adcy5
ADCY6	Adcy7
ADCY6	Adcy8
ADCY6	Adcy4
ADCY6	Adcy3
ADCY6	Adcy2
ADCY6	Adcy1
ADCY7	Adcy7
ADCY7	Adcy8
ADCY7	Adcy6
ADCY7	Adcy5
ADCY7	Adcy4
ADCY7	Adcy3
ADCY7	Adcy2
ADCY7	Adcy1
ADCY8	Adcy8
ADCY8	Adcy7
ADCY8	Adcy6
ADCY8	Adcy5
ADCY8	Adcy4
ADCY8	Adcy3
ADCY8	Adcy2
ADCY8	Adcy1
ADCY9	Adcy9
ADCYAP1	Adcyap1
ADCYAP1R1	Adcyap1r1
ADD1	Add1
ADD1	Add3
ADD1	Add2
ADD2	Add2
ADD2	Add3
ADD2	Add1
ADD3	Add3
ADD3	Add1
ADD3	Add2
ADGB	Adgb
ADGRA1	Adgra1
ADGRA1	Adgra3
ADGRA2	Adgra2
ADGRA2	Adgra3
ADGRA3	Adgra3
ADGRA3	Adgra1
ADGRA3	Adgra2
ADGRB1	Adgrb1
ADGRB1	Adgrb3
ADGRB1	Adgrb2
ADGRB2	Adgrb2
ADGRB2	Adgrb3
ADGRB2	Adgrb1
ADGRB3	Adgrb3
ADGRB3	Adgrb1
ADGRB3	Adgrb2
ADGRD1	Adgrd1
ADGRD2	Adgrd2-ps
ADGRE1	Adgre1
ADGRE2	Adgre5
ADGRE3	Adgre4
ADGRE5	Adgre5
ADGRF1	Adgrf1
ADGRF2	Adgrf2
ADGRF3	Adgrf3
ADGRF4	Adgrf4
ADGRF5	Adgrf5
ADGRG1	Adgrg1
ADGRG2	Adgrg2
ADGRG3	Adgrg3
ADGRG4	Adgrg4
ADGRG5	Adgrg5
ADGRG6	Adgrg6
ADGRG7	Adgrg7
ADGRL1	Adgrl1
ADGRL1	Adgrl2
ADGRL1	Adgrl3
ADGRL2	Adgrl2
ADGRL2	Adgrl1
ADGRL2	Adgrl3
ADGRL3	Adgrl3
ADGRL3	Adgrl1
ADGRL3	Adgrl2
ADGRL4	Adgrl4
ADGRV1	Adgrv1
ADH1A	Adh1
ADH1A	Adh4
ADH1A	Adh6a
ADH1A	Adh6b
ADH1A	Adh7
ADH1A	Adh5
ADH1B	Adh1
ADH1B	Adh4
ADH1B	Adh6a
ADH1B	Adh6b
ADH1B	Adh7
ADH1B	Adh5
ADH1C	Adh1
ADH1C	Adh4
ADH1C	Adh6a
ADH1C	Adh6b
ADH1C	Adh7
ADH1C	Adh5
ADH4	Adh4
ADH4	Adh6a
ADH4	Adh6b
ADH4	Adh1
ADH4	Adh7
ADH4	Adh5
ADH5	Adh5
ADH5	Adh4
ADH5	Adh6a
ADH5	Adh6b
ADH5	Adh1
ADH5	Adh7
ADH6	Adh6a
ADH6	Adh6b
ADH6	Adh4
ADH6	Adh1
ADH6	Adh7
ADH6	Adh5
ADH7	Adh7
ADH7	Adh4
ADH7	Adh6a
ADH7	Adh6b
ADH7	Adh1
ADH7	Adh5
ADHFE1	Adhfe1
ADI1	Adi1
ADIG	Adig
ADIPOQ	Adipoq
ADIPOR1	Adipor1
ADIPOR2	Adipor2
ADK	Adk
ADM	Adm
ADM2	Adm2
ADM5	Adm
ADNP	Adnp
ADNP2	Adnp2
ADO	Ado
ADORA1	Adora1
ADORA2A	Adora2a
ADORA2A	Adora2b
ADORA2B	Adora2b
ADORA2B	Adora2a
ADORA3	Adora3
ADORA3	Gm53046
ADPGK	Adpgk
ADPRH	Adprh
ADPRHL1	Adprhl1
ADPRM	Adprm
ADPRS	Adprs
ADRA1A	Adra1a
ADRA1B	Adra1b
ADRA1B	Adra1d
ADRA1D	Adra1d
ADRA1D	Adra1b
ADRA2A	Adra2a
ADRA2B	Adra2b
ADRA2C	Adra2c
ADRB1	Adrb1
ADRB1	Adrb3
ADRB2	Adrb2
ADRB3	Adrb3
ADRB3	Adrb1
ADRM1	Adrm1
ADRM1	Gm9774
ADSL	Adsl
ADSS1	Adssl1
ADSS1	Adss
ADSS2	Adss
ADSS2	Adssl1
ADTRP	Adtrp
ADTRP	Aig1
AEBP1	Aebp1
AEBP1	Cpxm2
AEBP1	Cpxm1
AEBP2	Aebp2
AEN	Aen
AEN	Isg20
AEN	Isg20l2
AF111168.1	Gm26493
AF241726.2	Tspan7
AFAP1	Afap1
AFAP1L1	Afap1l1
AFAP1L2	Afap1l2
AFDN	Afdn
AFF1	Aff1
AFF2	Aff2
AFF3	Aff3
AFF4	Aff4
AFG1L	Afg1l
AFG3L2	Afg3l2
AFG3L2	Afg3l1
AFM	Afm
AFM	Albfm1
AFMID	Afmid
AFP	Afp
AFTPH	Aftph
AGA	Aga
AGAP1	Agap1
AGAP1	Agap3
AGAP1	Agap2
AGAP11	Agap1
AGAP14P	Agap3
AGAP14P	Agap1
AGAP14P	Agap2
AGAP2	Agap2
AGAP2	Agap3
AGAP2	Agap1
AGAP3	Agap3
AGAP3	Agap1
AGAP3	Agap2
AGAP4	Agap1
AGAP4	Agap3
AGAP4	Agap2
AGAP5	Agap1
AGAP5	Agap3
AGAP5	Agap2
AGAP6	Agap1
AGAP6	Agap3
AGAP6	Agap2
AGAP7P	Agap1
AGAP9	Agap1
AGAP9	Agap3
AGAP9	Agap2
AGBL1	Agbl1
AGBL1	Agtpbp1
AGBL2	Agbl2
AGBL2	Agbl3
AGBL3	Agbl3
AGBL3	Agbl2
AGBL4	Agbl4
AGBL5	Agbl5
AGER	Ager
AGFG1	Agfg1
AGFG2	Agfg2
AGGF1	Aggf1
AGK	Agk
AGL	Agl
AGMAT	Agmat
AGMO	Agmo
AGO1	Ago1
AGO1	Ago4
AGO1	Ago2
AGO1	Ago3
AGO2	Ago2
AGO2	Ago4
AGO2	Ago1
AGO2	Ago3
AGO3	Ago3
AGO3	Ago4
AGO3	Ago1
